Switch#show mac address-table 
        Mac Address Table (Total 498)
------------------------------------------

Vlan    Mac Address       Type       Ports
----    -----------       ----       -----
700     2841.c786.eb31    DYNAMIC    gpon0/2:26-1
700     40ae.30c5.8a04    DYNAMIC    gpon0/8:38-1
700     e472.e251.1bf5    DYNAMIC    gpon0/1:75-1
700     3ce8.2499.06a5    DYNAMIC    gpon0/3:23-1
700     602e.20b9.9ef0    DYNAMIC    gpon0/1:80-1
700     80b5.758e.ebb3    DYNAMIC    gpon0/12:4-1
700     c81f.beb7.06c1    DYNAMIC    gpon0/8:7-1
700     44a3.c725.d572    DYNAMIC    gpon0/5:75-1
700     2416.6da7.a3e5    DYNAMIC    gpon0/8:5-1
700     a8d4.e0bd.f2bb    DYNAMIC    gpon0/3:69-1
700     20ab.4822.27ce    DYNAMIC    gpon0/4:2-1
700     5c09.7967.c711    DYNAMIC    gpon0/12:31-1
700     8866.395a.d0a0    DYNAMIC    gpon0/1:13-1
700     a4be.2b35.8321    DYNAMIC    gpon0/6:14-1
700     1457.9f78.286d    DYNAMIC    gpon0/8:41-1
700     40ae.30c5.ca44    DYNAMIC    gpon0/2:38-1
700     788c.b556.6a7f    DYNAMIC    gpon0/9:22-1
700     ac15.a28d.61ef    DYNAMIC    gpon0/3:52-1
1       40ae.30c5.cc02    DYNAMIC    gpon0/1:90-1
1       40ae.30c5.cc03    DYNAMIC    gpon0/1:90-1
1       40ae.30c5.cc05    DYNAMIC    gpon0/1:90-1
700     505d.ac59.ad6e    DYNAMIC    gpon0/5:32-1
700     44a3.c725.ca6e    DYNAMIC    gpon0/1:93-1
1       40ae.30c5.ac1d    DYNAMIC    gpon0/5:49-1
1       40ae.30c5.ac1b    DYNAMIC    gpon0/5:49-1
1       40ae.30c5.ac1a    DYNAMIC    gpon0/5:49-1
700     0c84.0813.8a2e    DYNAMIC    gpon0/12:45-1
700     bc1e.8564.b115    DYNAMIC    gpon0/1:101-1
700     788c.b556.4aa7    DYNAMIC    gpon0/1:4-1
700     44a3.c725.ca3e    DYNAMIC    gpon0/3:68-1
700     44a3.c725.ca39    DYNAMIC    gpon0/2:62-1
700     c0ff.a89f.e0c8    DYNAMIC    gpon0/12:37-1
700     70c7.f34f.7b7a    DYNAMIC    gpon0/9:35-1
700     a0a3.3b72.2c0a    DYNAMIC    gpon0/3:22-1
700     f009.0d91.8dad    DYNAMIC    gpon0/1:99-1
700     78dd.3352.2509    DYNAMIC    gpon0/9:31-1
700     341e.6bbe.086b    DYNAMIC    gpon0/12:7-1
700     c0e3.fb30.b746    DYNAMIC    gpon0/4:30-1
700     5c09.79ee.fb54    DYNAMIC    gpon0/12:11-1
700     4cd0.cbe9.c641    DYNAMIC    gpon0/1:55-1
700     e4dc.cc13.57c0    DYNAMIC    gpon0/3:70-1
700     c81f.bc94.2bea    DYNAMIC    gpon0/4:22-1
