"ONU external ID","PON Type",SN,"Onu Type",Name,OLT,Board,Port,"Allocated ONU",Zone,Address,Latitude,Longitude,"ODB (Splitter)","ODB Port",Mode,"WAN mode","IP address","Subnet mask","Default gateway",DNS1,DNS2,Username,Password,CATV,"Administrative status","Auth date",Status,Signal,"Signal 1310","Signal 1490",Distance(m),"Service port","Service port VLAN","Service port CVLAN","Service port SVLAN","Service port tag transform mode","Service port upload speed","Service port download speed",Contact,"TR069 Profile","TR069 Device ID","Last status change"
HWTC5950208C,gpon,HWTC5950208C,HG8310M,vescudero3,"Villa Dolores 2",1,0,8,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-09-21 17:46:42",Online,"Very good",-26.78,-23.37,8319,3191,120,,,translate,300Mbps,300Mbps,,,,"2026-03-29 07:37:34"
HWTC7D74785D,gpon,HWTC7D74785D,HG8310M,psmonllorsalinas,"Villa Dolores 2",1,0,28,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2024-10-28 10:13:43",Online,"Very good",-26.99,-22.84,8757,2494,140,,,translate,300Mbps,300Mbps,,,,"2026-03-24 19:33:38"
HWTC22F3CF9B,gpon,HWTC22F3CF9B,IC425ETB,framos,"Villa Dolores 2",1,1,40,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-11-24 10:25:27",Online,"Very good",-23.88,-22.92,6290,410,140,,,translate,300Mbps,300Mbps,,,,"2026-04-16 15:08:22"
HWTC22F8BF9B,gpon,HWTC22F8BF9B,IC425ETB,mjsosa,"Villa Dolores 2",1,1,98,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2025-04-08 16:57:18",Online,"Very good",-24.56,-21.19,6266,443,140,,,translate,300Mbps,300Mbps,,,,"2026-04-11 15:36:16"
HWTCA7189A94,gpon,HWTCA7189A94,HG8010H,jmramos,"Villa Dolores 2",1,2,20,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2024-12-13 10:52:06",Online,"Very good",-29.59,-28.24,2768,462,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC233BFF9B,gpon,HWTC233BFF9B,IC425ETB,bfortini1,"Villa Dolores 2",1,2,70,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2024-12-17 19:22:30",Online,"Very good",-29.21,-30,3105,5760,200,,,translate,1G,1G,,,,"2026-03-05 08:11:21"
TPLG8BDDDFDE,gpon,TPLG8BDDDFDE,TX-6610,lmcebrero,"Villa Dolores 2",1,3,33,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2025-01-31 17:52:01",Online,"Very good",-28.24,-26.99,4171,3418,120,,,translate,300Mbps,300Mbps,,,,"2026-03-27 08:24:04"
HWTC2368FF9B,gpon,HWTC2368FF9B,IC425ETB,seidelson,"Villa Dolores 2",1,3,66,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2025-09-18 11:05:07",Online,"Very good",-27.96,-26.02,3892,427,140,,,translate,300Mbps,300Mbps,,,,"2026-04-16 08:11:19"
HWTC231A2F9B,gpon,HWTC231A2F9B,HG8010H,intmunivd,"Villa Dolores 2",1,4,9,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-14 11:56:42",Online,"Very good",-27.22,-26.19,1963,525,140,,,translate,300Mbps,300Mbps,,,,"2026-04-14 07:20:26"
HWTC7D1D4B5D,gpon,HWTC7D1D4B5D,HG8310M,mbustos6,"Villa Dolores 2",1,4,12,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-10-09 11:29:33",Online,"Very good",-28.24,-28.86,2682,529,140,,,translate,300Mbps,300Mbps,,,,"2026-03-27 07:56:01"
HWTC2370AF9B,gpon,HWTC2370AF9B,HG8010H,muniturismo,"Villa Dolores 2",1,4,13,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-21 11:44:44",Online,"Very good",-26.78,-26.99,2123,530,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 10:30:57"
HWTC23045F9B,gpon,HWTC23045F9B,IC425ETB,pemogadouro,"Villa Dolores 2",1,4,81,"Zone 1",,,,,,Bridging,,,,,,,,,Enabled,Enabled,,Online,"Very good",-26.99,-20.5,2649,549,140,,,translate,1G,1G,,,,"2026-04-11 15:43:46"
HWTC7D999B5D,gpon,HWTC7D999B5D,HG8310M,remachuca,"Villa Dolores 2",1,5,15,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-10-02 12:47:18",Online,"Very good",-26.78,-28.86,2865,334,140,,,translate,300Mbps,300Mbps,,,,"2026-03-20 11:17:05"
HWTC7D206F5D,gpon,HWTC7D206F5D,HG8310M,bunkern,"Villa Dolores 2",1,6,6,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2026-02-25 08:37:40",Online,"Very good",-22.22,-21.87,1038,845,120,,,translate,1G,1G,,,,"2026-03-05 08:11:21"
HWTC7D0F785D,gpon,HWTC7D0F785D,HG8310M,auditoriomuni,"Villa Dolores 2",1,6,49,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2024-06-12 10:54:49",Online,"Very good",-29.59,-33.97,1308,598,140,,,translate,300Mbps,300Mbps,,,,"2026-04-10 17:06:09"
TPLGB5E002DB,gpon,TPLGB5E002DB,TX-6610,falaniz3,"Villa Dolores 2",1,7,9,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2024-12-02 17:35:36",Online,"Very good",-26.03,-22.67,2986,1822,120,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC22F3DF9B,gpon,HWTC22F3DF9B,HG8010H,klopez1,"Villa Dolores 2",1,8,18,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-07 12:12:58",Online,"Very good",-24.95,-22,1466,639,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC23215F9B,gpon,HWTC23215F9B,HG8010H,kfunes,"Villa Dolores 2",1,8,19,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-16 10:55:25",Online,"Very good",-24.82,-21.8,1855,640,140,,,translate,300Mbps,300Mbps,,,,"2026-04-03 09:25:14"
HWTC22DF5F9B,gpon,HWTC22DF5F9B,HG8010H,lrubiolo,"Villa Dolores 2",1,8,21,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-23 12:14:37",Online,"Very good",-25.53,-22.36,1361,641,140,,,translate,300Mbps,300Mbps,,,,"2026-04-03 17:23:23"
HWTC230CAF9B,gpon,HWTC230CAF9B,EG8141A5,mcabramo,"Villa Dolores 2",1,8,24,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-04 15:49:35",Online,Warning,-30.46,-29.58,1435,642,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
TPLGE31A99A4,gpon,TPLGE31A99A4,TX-6610,cbroldan,"Villa Dolores 2",1,8,43,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2025-02-12 19:25:13",Online,"Very good",-27.22,-24.56,1793,5800,120,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC234E2F9B,gpon,HWTC234E2F9B,EG8141A5,wtramos,"Villa Dolores 2",1,9,4,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-04 10:07:37",Online,"Very good",-24.69,-23.66,3713,649,140,,,translate,300Mbps,300Mbps,,,,"2026-04-16 10:04:13"
HWTC22C6CF9B,gpon,HWTC22C6CF9B,EG8141A5,alopez3,"Villa Dolores 2",1,9,7,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-06 18:12:12",Online,"Very good",-23.67,-24.68,2887,650,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC2315DF9B,gpon,HWTC2315DF9B,EG8141A5,yalbornoz,"Villa Dolores 2",1,9,8,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-07 08:55:18",Online,"Very good",-25.09,-25.37,3193,652,140,,,translate,300Mbps,300Mbps,,,,"2026-04-06 21:54:55"
HWTC22DB2F9B,gpon,HWTC22DB2F9B,EG8141A5,mtoranzo,"Villa Dolores 2",1,9,12,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-10 09:11:09",Online,"Very good",-23.77,-17.23,2943,653,140,,,translate,300Mbps,300Mbps,,,,"2026-04-11 00:49:07"
HWTC22ED9F9B,gpon,HWTC22ED9F9B,EG8141A5,vnieto,"Villa Dolores 2",1,9,14,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-14 16:19:06",Online,"Very good",-24.32,-15.36,3547,389,140,,,translate,300Mbps,300Mbps,,,,"2026-04-13 22:49:41"
HWTC22E6EF9B,gpon,HWTC22E6EF9B,EG8141A5,pperez1,"Villa Dolores 2",1,9,17,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-17 17:15:36",Online,"Very good",-26.39,-26.19,3863,2744,120,,,translate,300Mbps,300Mbps,,,,"2026-04-10 15:35:09"
HWTC22D33F9B,gpon,HWTC22D33F9B,IC425ETB,mcuello1,"Villa Dolores 2",1,9,20,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-08-02 12:38:23",Online,"Very good",-24.56,-26.19,3905,654,140,,,translate,300Mbps,300Mbps,,,,"2026-03-30 09:57:03"
HWTC22CAEF9B,gpon,HWTC22CAEF9B,IC425ETB,msosa4,"Villa Dolores 2",1,9,22,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-08-04 16:00:04",Online,"Very good",-24.56,-25.23,3519,657,140,,,translate,300Mbps,300Mbps,,,,"2026-03-24 00:09:11"
HWTC234C5F9B,gpon,HWTC234C5F9B,IC425ETB,mrojas2,"Villa Dolores 2",1,9,23,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2026-03-06 09:37:19",Online,"Very good",-25.69,-26.38,3994,658,120,,,translate,300Mbps,300Mbps,,,,"2026-03-12 09:47:38"
HWTC22CDCF9B,gpon,HWTC22CDCF9B,IC425ETB,pguzman,"Villa Dolores 2",1,9,24,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-08-14 16:38:42",Online,"Very good",-29.59,-30.45,3943,659,140,,,translate,300Mbps,300Mbps-UP,,,,"2026-03-12 09:47:38"
HWTC22CDBF9B,gpon,HWTC22CDBF9B,IC425ETB,bformini,"Villa Dolores 2",1,9,26,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-08-15 10:48:53",Online,"Very good",-24.32,-24.95,3783,660,140,,,translate,300Mbps,300Mbps,,,,"2026-04-10 08:43:50"
HWTC7DB4855D,gpon,HWTC7DB4855D,HG8310M,coyola3,"Villa Dolores 2",1,9,29,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-09-19 18:09:47",Online,"Very good",-28.54,-28.54,3670,662,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC5986478C,gpon,HWTC5986478C,HG8310M,radiomuni,"Villa Dolores 2",1,9,31,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-10-06 12:06:11",Online,"Very good",-24.82,-27.21,3482,664,140,,,translate,1G,1G,,,,"2026-03-12 09:47:38"
TPLG8BDDDC0F,gpon,TPLG8BDDDC0F,TX-6610,emmolina,"Villa Dolores 2",1,9,32,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2024-12-10 12:00:42",Online,"Very good",-25.38,-26.38,3725,1396,120,,,translate,300Mbps,300Mbps,,,,"2026-03-05 10:37:13"
TPLG8BDDDF00,gpon,TPLG8BDDDF00,TX-6610,moviedo1,"Villa Dolores 2",1,9,33,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2025-10-07 10:47:09",Online,"Very good",-26.03,-26.99,3946,1803,120,,,translate,300Mbps,300Mbps,,,,"2026-03-28 22:29:45"
HWTC232FAF9B,gpon,HWTC232FAF9B,IC425ETB,fvgil,"Villa Dolores 2",1,9,68,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2026-02-26 17:52:04",Online,"Very good",-26.03,-25.85,4099,851,120,,,translate,300Mbps,300Mbps,,,,"2026-03-05 09:48:18"
HWTCE664DD6D,gpon,HWTCE664DD6D,HG8240H,sdcharras,"Villa Dolores 2",1,10,6,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2024-10-24 10:02:55",Online,"Very good",-22.3,-19.17,2076,195,140,,,translate,300Mbps,300Mbps,,,,"2026-04-03 23:57:43"
HWTC23026F9B,gpon,HWTC23026F9B,HG8010H,hozan,"Villa Dolores 2",1,10,10,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-13 16:12:17",Online,"Very good",-22.93,-20.04,1775,674,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC232B1F9B,gpon,HWTC232B1F9B,HG8010H,gmoyano,"Villa Dolores 2",1,10,11,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-15 16:39:16",Online,"Very good",-23.1,-19.91,1746,675,140,,,translate,300Mbps,300Mbps,,,,"2026-04-11 22:05:16"
HWTC2317DF9B,gpon,HWTC2317DF9B,HG8010H,lcoria,"Villa Dolores 2",1,10,13,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-19 11:39:52",Online,"Very good",-27.22,-23.01,2052,676,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC23183F9B,gpon,HWTC23183F9B,HG8010H,jortiz1,"Villa Dolores 2",1,10,14,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-19 12:51:46",Online,"Very good",-23.98,-20.31,1815,1768,120,,,,300Mbps,300Mbps,,,,"2026-04-16 12:18:42"
HWTC2317CF9B,gpon,HWTC2317CF9B,HG8010H,cgheredia,"Villa Dolores 2",1,10,15,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-21 16:35:38",Online,"Very good",-24.32,-22.44,2244,1791,120,,,,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC2370FF9B,gpon,HWTC2370FF9B,HG8010H,bcardinali,"Villa Dolores 2",1,10,16,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-21 17:22:43",Online,"Very good",-21.49,-19.46,1810,677,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC22DF4F9B,gpon,HWTC22DF4F9B,HG8010H,scordoba,"Villa Dolores 2",1,10,18,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-22 11:51:31",Online,"Very good",-23.38,-20.36,2155,680,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC2305FF9B,gpon,HWTC2305FF9B,IC425ETB,cpalacio,"Villa Dolores 2",1,10,25,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-08-23 18:39:44",Online,"Very good",-23.67,-21.55,2163,685,140,,,translate,300Mbps,300Mbps,,,,"2026-04-14 21:43:52"
HWTC234E1F9B,gpon,HWTC234E1F9B,EG8141A5,fandrada,"Villa Dolores 2",1,10,26,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-03 18:36:10",Online,"Very good",-22.76,-20.65,2101,687,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC234E3F9B,gpon,HWTC234E3F9B,EG8141A5,aecornejo,"Villa Dolores 2",1,10,27,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-04 12:22:50",Online,"Very good",-25.69,-21.3,2161,688,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC230BEF9B,gpon,HWTC230BEF9B,EG8141A5,cdquevedo,"Villa Dolores 2",1,10,28,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-04 17:22:09",Online,"Very good",-23.77,-23.76,1901,689,140,,,translate,300Mbps,300Mbps,,,,"2026-04-16 18:04:45"
HWTC22C6DF9B,gpon,HWTC22C6DF9B,EG8141A5,mdominguez,"Villa Dolores 2",1,10,29,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-05 09:55:21",Online,"Very good",-22.93,-20.04,2100,690,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTC22DD7F9B,gpon,HWTC22DD7F9B,EG8141A5,cmachuca1,"Villa Dolores 2",1,10,32,Zone,,,,,,Bridging,,,,,,,,,Enabled,Enabled,"2023-07-11 15:54:58",Online,"Very good",-23.38,-22.36,1702,691,140,,,translate,300Mbps,300Mbps,,,,"2026-03-05 08:11:21"
HWTCEFB00E8D,gpon,HWTCEFB00E8D,HG8240H,vzamora1,"Villa Dolores 2",1,11,0,Zone,,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2025-10-31 18:11:06",Online,"Very good",-24.32,-22.52,2601,693,140,,,translate,300Mbps,300Mbps,,,,"2026-03-23 12:56:30"
HWTC22F2BF9B,gpon,HWTC22F2BF9B,HG8010H,ealtamirano5,"Villa Dolores 2",1,11,6,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-09 15:52:36",Online,"Very good",-23.98,-17.05,3318,695,140,,,translate,300Mbps,300Mbps,,,,"2026-04-05 23:44:54"
HWTC22F38F9B,gpon,HWTC22F38F9B,HG8010H,onmolina,"Villa Dolores 2",1,11,8,"Zone 1",,,,,,Bridging,,,,,,,,,"Not supported by ONU-Type",Enabled,"2023-06-12 11:14:01",Online,"Very good",-22.6,-13.27,2865,696,140,,,translate,300Mbps,300Mbps,,,,"2026-04-02 21:32:08"
