PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/3,69,HWTCDAC471B1,anbenitez,EG8021V5,BRIDGE
0/1/12,45,HWTCAF5C98B1,mtligorria,EG8021V5,BRIDGE
0/1/1,101,HWTC965F4EB1,acbecerra,EG8021V5,BRIDGE
0/1/9,31,HWTCA3A3E2B1,lasanchez,EG8021V5,BRIDGE
0/1/3,70,HWTC87E8CFB4,mmartinez,EG8021V5,BRIDGE
0/1/6,50,HWTC458F1DB2,cvbarriales1,EG8021V5,BRIDGE
0/1/8,58,HWTC87F419B4,vfcasas,EG8021V5,BRIDGE
0/1/2,61,TPLGB5E00198,neahumada2,TX-6610,BRIDGE
0/1/6,56,HWTCAF6C46B1,mesalcedo,EG8021V5,BRIDGE
0/1/4,55,HWTC87F410B4,aagimenez,EG8021V5,BRIDGE
0/1/2,58,HWTCAF5B50B1,nralvarez2,EG8021V5,BRIDGE
0/1/2,68,TPLG8BDDDFDB,amichelena,TX-6610,BRIDGE
0/1/8,47,HWTCDACD83B1,gebazan,EG8021V5,BRIDGE
0/1/6,32,TPLGB5DFFE15,ngquinones,TX-6610,BRIDGE
0/1/1,102,HWTCAF6899B1,hquiroga,EG8021V5,BRIDGE
0/1/3,46,TPLG8BDDE772,cescudero3,TX-6610,BRIDGE
0/1/2,70,HWTCAF712DB1,yealaniz,EG8021V5,BRIDGE
0/1/2,63,HWTCDACF4FB1,rmdiaz,EG8021V5,BRIDGE
0/1/5,25,TPLG8BDDE6B1,mhaltamirano,TX-6610,BRIDGE
0/1/6,46,HWTCAF794EB1,pcrognale,EG8021V5,BRIDGE
0/1/2,50,HWTCDAC788B1,ebbarroso,EG8021V5,BRIDGE
0/1/6,61,HWTC87F1B8B4,megonini,EG8021V5,BRIDGE
0/1/1,104,HWTCDAC672B1,enheredia,EG8021V5,BRIDGE
0/1/1,16,BDCMB16FE66A,abaigorria,GP1704-2FC-S,BRIDGE
0/1/1,9,BDCMB169596A,trojo,GP1705-2G,BRIDGE
0/1/5,45,HWTCAF6BFBB1,drtoso,EG8021V5,BRIDGE
0/1/1,76,TPLGB5DFFDB0,esosa3,TX-6610,BRIDGE
0/1/1,44,BDCMB16953DA,maaltamirano,GP1705-2G,BRIDGE
0/1/1,64,BDCMB169532A,mjvillalobo,GP1705-2G,BRIDGE
0/1/9,39,HWTC87EF64B4,lspereyra,EG8021V5,BRIDGE
0/1/3,62,HWTCA47952B1,cmromero,EG8021V5,BRIDGE
0/1/4,15,TPLG8BDDE0D5,mlcordoba,TX-6610,BRIDGE
0/1/1,98,HWTC458753B2,jobredor,EG8021V5,BRIDGE
0/1/2,74,HWTCAF67B8B1,oaromero,EG8021V5,BRIDGE
0/1/3,63,HWTCAF6D68B1,dsacosta,EG8021V5,BRIDGE
0/1/3,34,HWTCA3A642B1,jbflores,EG8021V5,BRIDGE
0/1/3,67,HWTC87E95FB4,yjolmedo,EG8021V5,BRIDGE
0/1/4,53,HWTC87ED24B4,nbmunoz,EG8021V5,BRIDGE
0/1/6,27,TPLGB535173E,ealtamirano,TX-6610,BRIDGE
0/1/3,61,HWTC87F2B9B4,jstotel,EG8021V5,BRIDGE
0/1/8,46,HWTCAF6E99B1,nbcuello,EG8021V5,BRIDGE
0/1/5,73,HWTCA46829B1,gacordoba,EG8021V5,BRIDGE
0/1/2,60,HWTCDADB23B1,hreale,EG8021V5,BRIDGE
0/1/5,74,HWTCAF5A1CB1,walucero,EG8021V5,BRIDGE
0/1/3,65,HWTCDAD2DCB1,ptello2,EG8021V5,BRIDGE
