PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/0,1,HWTC8AE3E5A6,rsotelo,EG8141A5,ROUTER
0/1/0,4,TPLGB5564AA0,rpalacio2,XN020-G3,ROUTER
0/1/0,5,HWTC26FC2C1E,mperez,IC405WSG,ROUTER
0/1/0,7,HWTC9D93D09F,cmaldonado,EG8141A5,ROUTER
0/1/0,9,BDCMB169596A,trojo,GP1705-2G,BRIDGE
0/1/0,10,HWTC04715092,lcontrera,HG8546M,ROUTER
0/1/0,13,HWTC5AD09F9B,lgpaez,IC405WSG,ROUTER
0/1/0,14,HWTC340B3BA6,ncortes,EG8141A5,ROUTER
0/1/0,15,HWTC261AB71E,fsarinski,IC405WSG,ROUTER
0/1/0,16,BDCMB16FE66A,abaigorria,GP1704-2FC-S,BRIDGE
0/1/0,18,HWTC9410F5A4,vnegri,EG8141A5,ROUTER
0/1/0,19,HWTC198E059B,hpedernera,EG8141A5,ROUTER
0/1/0,21,HWTC6367D89F,jmerino,EG8141A5,ROUTER
0/1/0,23,HWTC3853AEB4,lchavero,EG8141A5,ROUTER
0/1/0,24,HWTC6071B69D,blandrada,EG8141A5,ROUTER
0/1/0,25,HWTC9FB0C49F,arojeda,EG8141A5,ROUTER
0/1/0,27,HWTC82E1F592,jbrito,IC410WSG,ROUTER
0/1/0,34,HWTC917306A6,mnmareco,EG8141A5,ROUTER
0/1/0,42,HWTC9737C19F,acruz,EG8141A5,ROUTER
0/1/0,43,HWTC263A661E,pbarroso,IC405WSG,ROUTER
0/1/0,44,BDCMB16953DA,maaltamirano,GP1705-2G,BRIDGE
0/1/0,45,HWTCA963BC9D,jcuadra,EG8141A5,ROUTER
0/1/0,47,HWTC064B9CA6,clescano,EG8141A5,ROUTER
0/1/0,48,HWTC82061092,greales,IC410WSG,ROUTER
0/1/0,51,HWTC2671761E,avillarreal,IC405WSG,ROUTER
0/1/0,52,HWTC4F2E809B,ceandino,EG8141A5,ROUTER
