PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/15,13,TPLG84DB5D78,olvallez,XC220-G3,ROUTER
0/1/14,11,HWTC263E851E,wotazu,IC405WSG,ROUTER
0/1/14,19,HWTC87F167B4,rmsacuna,EG8021V5,BRIDGE
0/1/14,38,HWTC91738AA6,sgonzalez7,EG8141A5,ROUTER
0/1/6,55,HWTC26450A1E,pbenites,IC405WSG,ROUTER
0/1/9,12,HWTC5AD08F9B,yaavila,IC405WSG,ROUTER
0/1/10,3,HWTC2614661E,dbortagaray,IC405WSG,ROUTER
0/1/14,10,HWTCDAD525B1,gaaltamirano,EG8021V5,BRIDGE
0/1/12,23,ZTEGD6D13F30,mcaltamirano,F670LV9.0,ROUTER
0/1/6,32,HWTCB3B67D9A,lmmerino,EG8141A5,ROUTER
0/1/6,18,HWTC26BF4B1E,jcarranza,IC405WSG,ROUTER
0/1/14,31,HWTC262F401E,lbaguilera,IC405WSG,ROUTER
0/1/9,13,HWTCAF66ADB1,sjdmartinez,EG8021V5,BRIDGE
0/1/14,24,TPLGB5569550,acanan,XN020-G3,ROUTER
0/1/10,9,HWTCAF6BAAB1,fheredia2,EG8021V5,BRIDGE
0/1/12,33,TPLG84DB5DE8,laherrera,XC220-G3,ROUTER
0/1/10,7,HWTC6C42EC9F,ahgomez,EG8141A5,ROUTER
0/1/9,2,HWTC26EE8B1E,mzubeldia,IC405WSG,ROUTER
0/1/12,6,HWTC2602691E,avligorria,IC405WSG,ROUTER
0/1/14,30,HWTC5A6F8F9B,cvillarreal,IC405WSG,ROUTER
0/1/6,30,HWTC268DEB1E,mgonzalez3,IC405WSG,ROUTER
0/1/6,5,HWTC829EFF92,psulgay,IC410WSG,ROUTER
0/1/13,19,HWTC8274B292,ldcsalguero,IC410WSG,ROUTER
0/1/9,9,ZTEGD6D13F09,mamaciel,F670LV9.0,ROUTER
0/1/10,29,HWTC05B7C192,anieto1,HG8546M,ROUTER
0/1/9,8,HWTC0666F9A6,vpereyra,EG8141A5,ROUTER
0/1/9,31,TPLGB535172E,amfunes,TX-6610,BRIDGE
0/1/6,49,HWTCA370789C,altdesalvo,EG8141A5,ROUTER
0/1/13,5,HWTC82EE8492,sleon,IC410WSG,ROUTER
0/1/15,17,TPLGCEF49B50,mdcceballos,XC220-G3v,ROUTER
0/1/12,8,ZTEGD6D13EF4,scgodoy1,F670LV9.0,ROUTER
0/1/9,25,TPLGB55694C8,ngromero,XN020-G3,ROUTER
0/1/12,18,HWTC26584D1E,hldewar,IC405WSG,ROUTER
0/1/12,24,HWTC5C43949F,rvillalobo,EG8141A5,ROUTER
0/1/13,16,HWTC2064E79D,dsguzman,EG8141A5,ROUTER
0/1/6,9,HWTC180822A6,edfernandez,EG8141A5,ROUTER
0/1/9,32,HWTC340AC8A6,mrdewar,EG8141A5,ROUTER
0/1/14,7,ZTEGD6D13F59,ngaray,F670LV9.0,ROUTER
0/1/6,51,HWTC2616721E,nsalinas,IC405WSG,ROUTER
0/1/14,36,TPLGB55689E8,ahalonso,XN020-G3,ROUTER
0/1/6,24,HWTC1797DF9B,gelopez,IC405WSG,ROUTER
0/1/12,25,HWTCA5B0AF9B,faltamirano,EG8141A5,ROUTER
0/1/9,6,ZTEGD6D13D18,njllanososa,F670LV9.0,ROUTER
0/1/15,6,HWTC180852A6,mdoga,EG8141A5,ROUTER
0/1/10,12,HWTC17CE2F9B,gmaguilera,IC405WSG,ROUTER
0/1/12,41,HWTC180D3EA6,raolguin,EG8141A5,ROUTER
0/1/9,10,ZTEGD6D1426C,dsasturain,F670LV9.0,ROUTER
0/1/9,1,TPLGB5566988,municipalidad5,XN020-G3,ROUTER
0/1/14,17,HWTCDADC6BB1,rlmolina,EG8021V5,BRIDGE
0/1/13,8,HWTCAF5D4AB1,ptorihuela,EG8021V5,BRIDGE
0/1/6,53,HWTC18663A9A,cseva,EG8141A5,ROUTER
0/1/14,16,ZTEGD6D13D29,joaltamirano,F670LV9.0,ROUTER
0/1/15,3,HWTC06672CA6,emsandande,EG8141A5,ROUTER
0/1/6,25,TPLGB55656F8,pdbarroso1,XN020-G3,ROUTER
0/1/9,39,HWTC26B8671E,jligorria,IC405WSG,ROUTER
0/1/15,26,HWTCA3A5E0B1,mepereyra2,EG8021V5,BRIDGE
0/1/9,29,HWTC17618F9B,comunalastapias,IC405WSG,ROUTER
0/1/10,19,ZTEGD2EE9F2C,caguilera2,F6600PV9.0.05,ROUTER
0/1/12,26,TPLGB5568820,iepardo,XN020-G3,ROUTER
