PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
gpon_olt-1/1/2,1,HWTCBEBCA2A1,OLT_TPlink01,EG8021V5,ROUTER
gpon_olt-1/1/2,2,HWTC0B3137A6,OLT_TPlink02,EG8021V5,ROUTER
gpon_olt-1/1/2,3,TPLGB5569448,OLT_TPlink03,EG8021V5,ROUTER
gpon_olt-1/1/2,4,TPLGE715EDD0,OLT_TPlink04,EG8021V5,ROUTER
gpon_olt-1/1/2,5,TPLGB5E00327,OLT_TPlink05,EG8021V5,ROUTER
gpon_olt-1/1/2,6,TPLGB55683C0,OLT_TPlink06,EG8021V5,ROUTER
gpon_olt-1/1/2,7,TPLG8BDDDD76,OLT_TPlink07,EG8021V5,ROUTER
gpon_olt-1/1/2,8,TPLG8BDDE802,OLT_TPlink08,EG8021V5,ROUTER
gpon_olt-1/1/2,9,TPLGA2B73830,OLT_TPlink09,EG8021V5,ROUTER
gpon_olt-1/1/2,10,TPLGB5564C20,OLT_TPlink10,EG8021V5,ROUTER
gpon_olt-1/1/2,11,TPLGB5568FB8,OLT_TPlink11,EG8021V5,ROUTER
gpon_olt-1/1/2,12,TPLGB5567F80,OLT_TPlink12,EG8021V5,ROUTER
gpon_olt-1/1/2,13,TPLG30C5C508,OLT_TPlink13,EG8021V5,ROUTER
gpon_olt-1/1/2,14,TPLG8BDDE37B,OLT_TPlink14,EG8021V5,ROUTER
gpon_olt-1/1/2,15,TPLGE31A9A01,OLT_TPlink15,EG8021V5,ROUTER
gpon_olt-1/1/2,16,TPLG84DBF0F8,OLT_TPlink16,EG8021V5,ROUTER
gpon_olt-1/1/2,17,TPLGB5DFFCE8,OLT_TPlink17,EG8021V5,ROUTER
gpon_olt-1/1/2,18,TPLGB535173F,OLT_TPlink18,EG8021V5,ROUTER
gpon_olt-1/1/2,19,TPLG8BDDE77B,OLT_TPlink19,EG8021V5,ROUTER
gpon_olt-1/1/2,20,TPLGB5568870,OLT_TPlink20,EG8021V5,ROUTER
gpon_olt-1/1/2,21,TPLGB5566DF8,OLT_TPlink21,EG8021V5,ROUTER
gpon_olt-1/1/2,22,TPLGB5DFFE14,OLT_TPlink22,EG8021V5,ROUTER
gpon_olt-1/1/2,23,TPLGB5351892,OLT_TPlink23,EG8021V5,ROUTER
gpon_olt-1/1/2,24,TPLGB5DFFF8E,OLT_TPlink24,EG8021V5,ROUTER
gpon_olt-1/1/2,25,TPLGB55680E0,OLT_TPlink25,EG8021V5,ROUTER
gpon_olt-1/1/2,26,TPLGB5564C68,OLT_TPlink26,EG8021V5,ROUTER
gpon_olt-1/1/2,27,TPLGB5DFFCE5,OLT_TPlink27,EG8021V5,ROUTER
gpon_olt-1/1/2,28,TPLGA2670468,OLT_TPlink28,EG8021V5,ROUTER
gpon_olt-1/1/2,29,TPLG84DB51B0,OLT_TPlink29,EG8021V5,ROUTER
gpon_olt-1/1/2,30,TPLG4B2AFB58,OLT_TPlink30,EG8021V5,ROUTER
gpon_olt-1/1/2,31,TPLGB55651C0,OLT_TPlink31,EG8021V5,ROUTER
gpon_olt-1/1/2,32,TPLGA2370100,OLT_TPlink32,EG8021V5,ROUTER
gpon_olt-1/1/2,33,TPLGE31A9BB2,OLT_TPlink33,EG8021V5,ROUTER
gpon_olt-1/1/2,34,TPLG8BDDE725,OLT_TPlink34,EG8021V5,ROUTER
gpon_olt-1/1/2,35,TPLGB5563F10,OLT_TPlink35,EG8021V5,ROUTER
gpon_olt-1/1/2,36,TPLGB5564D50,OLT_TPlink36,EG8021V5,ROUTER
gpon_olt-1/1/2,37,TPLGB55677F0,OLT_TPlink37,EG8021V5,ROUTER
gpon_olt-1/1/2,38,TPLGCEF49320,OLT_TPlink38,EG8021V5,ROUTER
gpon_olt-1/1/2,39,TPLGB53516EF,OLT_TPlink39,EG8021V5,ROUTER
gpon_olt-1/1/2,40,TPLGB5565658,OLT_TPlink40,EG8021V5,ROUTER
gpon_olt-1/1/2,41,TPLGA28D5BA0,OLT_TPlink41,EG8021V5,ROUTER
gpon_olt-1/1/2,42,TPLG51013CF0,OLT_TPlink42,EG8021V5,ROUTER
gpon_olt-1/1/2,43,TPLGB5564FC0,OLT_TPlink43,EG8021V5,ROUTER
gpon_olt-1/1/2,44,TPLGA28D5AC8,OLT_TPlink44,EG8021V5,ROUTER
gpon_olt-1/1/2,45,TPLGB5569220,OLT_TPlink45,EG8021V5,ROUTER
gpon_olt-1/1/2,46,TPLG0D91C3F0,OLT_TPlink46,EG8021V5,ROUTER
gpon_olt-1/1/2,47,TPLG84DB5B60,OLT_TPlink47,EG8021V5,ROUTER
